Detector,Descriptor,Selector,Img,TTC-Lidar,TTC-Cam,TTC-diff
BRISK,BRISK,SEL_KNN,3,13.9161,15.6932,-1.77703
BRISK,BRISK,SEL_KNN,4,14.8865,15.2031,-0.31659
BRISK,BRISK,SEL_KNN,5,12.1873,26.4299,-14.2426
BRISK,BRISK,SEL_KNN,6,7.50199,17.6743,-10.1723
BRISK,BRISK,SEL_KNN,7,34.3404,16.8563,17.4841
BRISK,BRISK,SEL_KNN,8,18.7875,17.5504,1.23715
BRISK,BRISK,SEL_KNN,9,15.8894,13.8959,1.99347
BRISK,BRISK,SEL_KNN,10,13.7297,13.4121,0.317538
BRISK,BRISK,SEL_KNN,11,10.4914,12.8176,-2.32619
BRISK,BRISK,SEL_KNN,12,10.1,11.2037,-1.1037
BRISK,BRISK,SEL_KNN,13,9.22307,11.8505,-2.62748
BRISK,BRISK,SEL_KNN,14,10.9678,12.0376,-1.06982
BRISK,BRISK,SEL_KNN,15,8.09422,13.1813,-5.08705
BRISK,BRISK,SEL_KNN,16,8.81392,11.2969,-2.48293
BRISK,BRISK,SEL_KNN,17,10.2926,9.2872,1.00535
BRISK,BRISK,SEL_KNN,18,8.30978,10.9372,-2.62746

BRISK,BRIEF,SEL_NN,1,12.9722,13.8215,-0.849391
BRISK,BRIEF,SEL_NN,2,12.264,17.9374,-5.67334
BRISK,BRIEF,SEL_NN,3,13.9161,12.3892,1.52694
BRISK,BRIEF,SEL_NN,4,14.8865,21.8235,-6.93696
BRISK,BRIEF,SEL_NN,5,12.1873,25.9018,-13.7145
BRISK,BRIEF,SEL_NN,6,7.50199,19.1942,-11.6922
BRISK,BRIEF,SEL_NN,7,34.3404,17.8904,16.45
BRISK,BRIEF,SEL_NN,8,18.7875,18.3884,0.399152
BRISK,BRIEF,SEL_NN,9,15.8894,14.9617,0.927722
BRISK,BRIEF,SEL_NN,10,13.7297,12.0114,1.7183
BRISK,BRIEF,SEL_NN,11,10.4914,11.5187,-1.02732
BRISK,BRIEF,SEL_NN,12,10.1,14.1488,-4.04879
BRISK,BRIEF,SEL_NN,13,9.22307,12.8926,-3.6695
BRISK,BRIEF,SEL_NN,14,10.9678,10.3194,0.648372
BRISK,BRIEF,SEL_NN,15,8.09422,11.1036,-3.00941
BRISK,BRIEF,SEL_NN,16,8.81392,12.8491,-4.03522
BRISK,BRIEF,SEL_NN,17,10.2926,11.1959,-0.903379
BRISK,BRIEF,SEL_NN,18,8.30978,9.5183,-1.20852

BRISK,BRIEF,SEL_KNN,1,12.9722,13.8109,-0.838778
BRISK,BRIEF,SEL_KNN,2,12.264,19.5623,-7.29824
BRISK,BRIEF,SEL_KNN,3,13.9161,14.4688,-0.552706
BRISK,BRIEF,SEL_KNN,4,14.8865,25.8379,-10.9514
BRISK,BRIEF,SEL_KNN,5,12.1873,17.0557,-4.86847
BRISK,BRIEF,SEL_KNN,6,7.50199,19.9254,-12.4234
BRISK,BRIEF,SEL_KNN,7,34.3404,17.5726,16.7678
BRISK,BRIEF,SEL_KNN,8,18.7875,18.4531,0.334376
BRISK,BRIEF,SEL_KNN,9,15.8894,16.7517,-0.862271
BRISK,BRIEF,SEL_KNN,10,13.7297,15.9407,-2.21108
BRISK,BRIEF,SEL_KNN,11,10.4914,14.8279,-4.3365
BRISK,BRIEF,SEL_KNN,12,10.1,15.6771,-5.57707
BRISK,BRIEF,SEL_KNN,13,9.22307,13.4222,-4.19915
BRISK,BRIEF,SEL_KNN,14,10.9678,12.7265,-1.75874
BRISK,BRIEF,SEL_KNN,15,8.09422,11.2161,-3.12186
BRISK,BRIEF,SEL_KNN,16,8.81392,13.2538,-4.43987
BRISK,BRIEF,SEL_KNN,17,10.2926,11.4147,-1.1222
BRISK,BRIEF,SEL_KNN,18,8.30978,13.6603,-5.35053

BRISK,ORB,SEL_NN,1,12.9722,13.7021,-0.729962
BRISK,ORB,SEL_NN,2,12.264,16.2471,-3.98307
BRISK,ORB,SEL_NN,3,13.9161,14.0399,-0.12381
BRISK,ORB,SEL_NN,4,14.8865,17.6583,-2.7718
BRISK,ORB,SEL_NN,5,12.1873,24.3697,-12.1824
BRISK,ORB,SEL_NN,6,7.50199,16.8251,-9.32307
BRISK,ORB,SEL_NN,7,34.3404,19.2187,15.1217
BRISK,ORB,SEL_NN,8,18.7875,15.6949,3.09264
BRISK,ORB,SEL_NN,9,15.8894,12.3557,3.53368
BRISK,ORB,SEL_NN,10,13.7297,12.8711,0.858517
BRISK,ORB,SEL_NN,11,10.4914,15.2056,-4.71422
BRISK,ORB,SEL_NN,12,10.1,11.4969,-1.39693
BRISK,ORB,SEL_NN,13,9.22307,11.8551,-2.63207
BRISK,ORB,SEL_NN,14,10.9678,10.8571,0.110652
BRISK,ORB,SEL_NN,15,8.09422,13.3791,-5.28491
BRISK,ORB,SEL_NN,16,8.81392,10.3928,-1.57892
BRISK,ORB,SEL_NN,17,10.2926,9.69689,0.595665
BRISK,ORB,SEL_NN,18,8.30978,11.0227,-2.71296

BRISK,ORB,SEL_KNN,1,12.9722,14.5206,-1.54843
BRISK,ORB,SEL_KNN,2,12.264,18.2699,-6.00587
BRISK,ORB,SEL_KNN,3,13.9161,14.1501,-0.23398
BRISK,ORB,SEL_KNN,4,14.8865,16.3966,-1.51003
BRISK,ORB,SEL_KNN,5,12.1873,19.1438,-6.95653
BRISK,ORB,SEL_KNN,6,7.50199,19.4256,-11.9236
BRISK,ORB,SEL_KNN,7,34.3404,17.9004,16.44
BRISK,ORB,SEL_KNN,8,18.7875,16.897,1.89053
BRISK,ORB,SEL_KNN,9,15.8894,14.6298,1.25963
BRISK,ORB,SEL_KNN,10,13.7297,11.2882,2.44142
BRISK,ORB,SEL_KNN,11,10.4914,13.2661,-2.77468
BRISK,ORB,SEL_KNN,12,10.1,13.1293,-3.02927
BRISK,ORB,SEL_KNN,13,9.22307,11.6599,-2.43683
BRISK,ORB,SEL_KNN,14,10.9678,12.2939,-1.32618
BRISK,ORB,SEL_KNN,15,8.09422,11.297,-3.20274
BRISK,ORB,SEL_KNN,16,8.81392,11.4475,-2.6336
BRISK,ORB,SEL_KNN,17,10.2926,10.2649,0.0276116
BRISK,ORB,SEL_KNN,18,8.30978,13.9005,-5.59077

BRISK,FREAK,SEL_NN,6,7.50199,-0.216395,7.71839
BRISK,FREAK,SEL_NN,7,34.3404,-0.224692,34.5651
